(13320,1147)
(2609,1265)
(12639,1506)
(2116,1619)
(4727,1703)
(17218,1712)
(898,2181)
(16280,2794)
(15911,3138)
(7625,3408)
(13275,3482)
(11478,3540)
(9847,4124)
(6617,4400)
(2230,4873)
(9636,4895)
(17160,5034)
(5793,5155)
(13175,5169)
(16837,5271)
(11092,5396)
(17271,5574)
(14667,5739)
(5032,5919)
(10213,6029)
(10452,6031)
(8729,6400)
(776,7160)
(12556,7262)
(2279,7355)
(8016,7503)
(12261,7709)
(12860,8124)
(11685,8605)
(9696,8866)
(5274,10091)
(2987,10262)
(6872,10324)
(4582,10367)
(3128,10418)
(16627,10481)
(12228,11111)
(2579,11145)
(1862,11861)
(1208,12463)
(5959,12627)
(14556,12634)
(1129,12664)
(8468,12834)
(9357,12880)
(7898,12946)
(5998,13044)
(16398,13132)
(1519,13251)
(11425,13342)
(1196,13597)
(14281,14147)
(85,14441)
(1931,14497)
(17879,15010)
(18403,15086)
(9977,15113)
(4551,15284)
(10930,15526)
(14841,15546)
(19847,15681)
(2203,15950)
(7168,16264)
(9092,16328)
(16119,16406)
(2145,16919)
(16472,17177)
(18326,17554)
(4790,17561)
(2975,18018)
(8677,18423)
(3100,18655)
(4068,18832)
(5659,18998)
(1775,19031)
(4834,19119)
(481,19341)
(14409,19892)
(2443,20216)
(15877,20265)
(449,20440)
(15449,20962)
(13678,21134)
(12956,21877)
(5286,22056)
(8248,22277)
(4500,22469)
(3288,22708)
(11867,22772)
(10914,23127)
(5034,23342)
(14426,23415)
(6988,23697)
(2455,23716)
(3905,23952)
(8627,23970)
(3699,24128)
(4580,24739)
(16857,24912)
(18944,25097)
(10766,25393)
(19852,26031)
(11278,26109)
(13118,27573)
(1687,27732)
(10121,27779)
(7264,27850)
(4046,28270)
(16540,28378)
(12140,28505)
(10753,28644)
(10663,28685)
(11056,28748)
(6861,29030)
(15354,29368)
(11860,29398)
(16302,29776)
(7756,30512)
(17660,30795)
(452,30822)
(10083,31020)
(365,31308)
(8175,31897)
(5864,32068)
(2314,32803)
(3555,32933)
(10383,32990)
(17914,33160)
(14332,33347)
(6421,33424)
(12269,33660)
(5844,33701)
(15538,33811)
(10733,33992)
(15202,34433)
(2041,34472)
(8454,34858)
(9760,34901)
(15005,35348)
(11436,35351)
(12635,36327)
(3999,36614)
(18022,36716)
(16858,36830)
(5591,36952)
(12188,37080)
(7416,37238)
(7328,37361)
(11642,37369)
(18626,37388)
(6413,37533)
(7738,37809)
(758,37963)
(3243,38411)
(1268,38473)
(5227,38545)
(13959,38843)
(9579,39243)
(2932,39638)
(11137,39836)
(7517,39888)
(2689,39911)
(14187,39953)
(16872,40046)
(18717,40052)
(5243,40205)
(19255,40440)
(11290,40563)
(11534,40644)
(12769,40645)
(13204,40746)
(4125,40923)
(8116,41766)
(10050,41816)
(18272,41882)
(16644,41957)
(5503,42605)
(14283,42616)
(14513,42761)
(10812,43098)
(19854,43181)
(18933,43226)
(10744,43264)
(5105,43270)
(6568,43311)
(8325,43475)
(19769,43487)
(8325,43491)
(8796,43623)
(1598,43673)
(10131,43763)
(11019,44632)
(3579,44838)
(5157,45319)
(5783,45468)
(8808,45520)
(9044,45781)
(11658,45848)
(14785,45856)
(4915,45916)
(9651,46097)
(5914,46694)
(17626,46930)
(15382,47362)
(16482,47970)
(2732,47971)
(1543,48184)
(3379,48438)
(11108,48643)
(11038,48747)
(7587,48771)
(11901,49036)
(8332,49238)
(12758,49303)
(5847,49393)
(16599,49435)
(10660,49907)
(9363,49917)
(8589,50154)
(879,50809)
(1086,50873)
(1665,50980)
(2912,51198)
(2999,51203)
(3309,51265)
(4480,51490)
(5777,51763)
(5991,51797)
(6345,51881)
(6750,51951)
(6930,51978)
(7152,52048)
(7213,52065)
(7387,52108)
(7615,52136)
(8316,52260)
(8564,52321)
(12136,52922)
(12861,53082)
(12920,53100)
(13502,53270)
(14673,53477)
(15004,53522)
(15063,53528)
(16222,53853)
(16309,53872)
(16340,53874)
(17216,54028)
(17662,54109)
(1793,54836)
(4219,55244)
(5579,55524)
(7202,55856)
(7322,55895)
(8071,56003)
(9113,56176)
(9380,56232)
(10120,56378)
(11353,56548)
(12503,56758)
(12585,56759)
(12652,56792)
(13291,56944)
(13316,56957)
(13702,57063)
(15745,57507)
(15855,57532)
(16043,57551)
(16120,57571)
(18113,57881)
(18948,58018)
(19577,58128)
(19739,58165)
(19865,58195)
(980,58385)
(1798,58553)
(4812,59094)
(5210,59151)
(6212,59367)
(6509,59405)
(6733,59448)
(9837,59985)
(10672,60127)
(11910,60303)
(12682,60451)
(13313,60600)
(13575,60693)
(14166,60790)
(15194,60926)
(15337,60970)
(15405,61006)
(17082,61341)
(17117,61345)
(19752,61762)
(924,61939)
(2429,62263)
(2714,62284)
(3451,62414)
(4233,62535)
(4678,62630)
(4885,62675)
(4885,62680)
(5769,62844)
(6002,62879)
(6068,62880)
(6512,62964)
(7103,63065)
(10176,63598)
(11314,63752)
(12923,64044)
(13268,64124)
(13563,64200)
(14300,64327)
(15708,64625)
(16082,64677)
(16474,64755)
(17259,64864)
(17498,64902)
(18233,65000)
(19053,65136)
(19490,65194)
(756,65404)
(983,65445)
(1151,65471)
(1193,65488)
(2355,65705)
(2419,65723)
(2484,65726)
(6534,66387)
(6653,66398)
(7009,66452)
(7285,66530)
(7570,66565)
(8104,66650)
(8925,66786)
(9715,66918)
(10828,67080)
(11669,67216)
(14127,67673)
(14801,67764)
(14829,67767)
(15091,67805)
(15618,67962)
(17606,68274)
(18558,68403)
(143,68641)
(338,68687)
(1085,68790)
(1974,68942)
(3074,69112)
(4856,69419)
(7089,69776)
(9109,70090)
(9124,70098)
(10082,70259)
(11522,70455)
(11729,70494)
(12666,70644)
(14403,70981)
(15269,71089)
(15325,71104)
(15451,71157)
(15655,71224)
(16204,71304)
(16638,71404)
(18992,71717)
(139,71875)
(3033,72332)
(3321,72370)
(4168,72494)
(4647,72604)
(4750,72620)
(5131,72653)
(6608,72906)
(6918,72951)
(7077,72980)
(7532,73059)
(8125,73143)
(8125,73147)
(8550,73226)
(8906,73271)
(9914,73409)
(11762,73680)
(12740,73847)
(14457,74158)
(15854,74422)
(16098,74444)
(16617,74531)
(17859,74678)
(18438,74754)
(18844,74803)
(19167,74861)
(443,75047)
(2214,75327)
(4462,75670)
(6860,76031)
(7466,76131)
(7996,76200)
(8843,76319)
(9114,76347)
(9390,76393)
(9812,76455)
(10005,76469)
(10017,76482)
(12308,76808)
(13127,76931)
(15414,77332)
(16199,77472)
(16860,77573)
(18289,77744)
(18492,77777)
(176,78003)
(265,78021)
(279,78025)
(554,78054)
(1032,78116)
(1647,78219)
(3032,78426)
(5321,78768)
(5718,78834)
(5825,78870)
(6969,79003)
(9616,79364)
(12442,79753)
(12587,79768)
(14843,80158)
(14929,80168)
(15667,80336)
(17520,80572)
(18652,80703)
(19218,80783)
(19638,80831)
(528,80945)
(929,80985)
(3125,81315)
(3140,81319)
(3521,81391)
(6109,81762)
(7507,81961)
(7794,81991)
(7858,82004)
(10101,82300)
(10641,82366)
(10956,82380)
(12613,82625)
(12713,82648)
(13157,82705)
(15348,83063)
(17344,83383)
(17889,83440)
(18024,83455)
(1618,83910)
(2835,84092)
(2901,84096)
(4230,84268)
(4398,84307)
(5298,84427)
(6220,84589)
(7851,84774)
(10007,85038)
(11012,85150)
(11984,85305)
(12465,85371)
(12744,85407)
(13257,85491)
(13380,85519)
(14226,85675)
(14313,85685)
(14458,85702)
(15397,85812)
(15478,85839)
(17241,86113)
(18375,86206)
(18598,86225)
(19770,86378)
(178,86431)
(346,86453)
(1867,86648)
(2195,86694)
(4873,87059)
(6166,87244)
(6370,87280)
(8146,87471)
(9531,87653)
(10039,87713)
(10793,87796)
(11105,87817)
(11942,87927)
(12287,87987)
(12393,88004)
(13323,88130)
(13394,88152)
(15364,88415)
(15462,88441)
(1056,89101)
(1063,89106)
(1354,89155)
(3324,89405)
(3359,89414)
(3831,89483)
(4216,89523)
(7143,89924)
(9687,90231)
(11595,90436)
(11602,90438)
(13325,90663)
(13374,90669)
(14609,90836)
(15074,90875)
(14171,90990)
(15640,91002)
(15693,91006)
(16258,91068)
(16636,91139)
(17860,91258)
(19013,91383)
(19853,91479)
(59,91503)
(2168,91748)
(2323,91779)
(2656,91815)
(2798,91826)
(3611,91919)
(4564,92042)
(5622,92177)
(5809,92226)
(7922,92450)
(9012,92583)
(11433,92847)
(12911,93019)
(13387,93098)
(13671,93153)
(14429,93244)
(15086,93289)
(16437,93491)
(16465,93499)
(17169,93562)
(17647,93628)
(18442,93698)
(1428,94021)
(2347,94153)
(4036,94318)
(4110,94321)
(5475,94496)
(5552,94515)
(7057,94691)
(7402,94748)
(8242,94812)
(8390,94827)
(9178,94936)
(9242,94955)
(9515,94979)
(10097,95035)
(12170,95252)
(12795,95323)
(13001,95342)
(13764,95468)
(13851,95480)
(13909,95489)
(14695,95555)
(15356,95620)
(16259,95752)
(17526,95884)
(18981,96010)
(19591,96080)
(19833,96110)
(160,96143)
(941,96207)
(1664,96300)
(2081,96362)
(2258,96392)
(2754,96429)
(3692,96520)
(4997,96664)
(5019,96666)
(5296,96699)
(5301,96702)
(5522,96726)
(6200,96829)
(7028,96904)
(8473,97045)
(10088,97215)
(11337,97340)
(11875,97394)
(12458,97460)
(12940,97508)
(13363,97566)
(15248,97750)
(15301,97755)
(16596,97937)
(16605,97941)
(16610,97944)
(18350,98085)
(19656,98219)
(74,98262)
(566,98291)
(3014,98538)
(3207,98553)
(4771,98751)
(5537,98809)
(5615,98812)
(6191,98894)
(6198,98895)
(6325,98908)
(6634,98923)
(6691,98933)
(6887,98949)
(7023,98958)
(7108,98963)
(7248,98991)
(9742,99240)
(9976,99241)
(10255,99269)
(11451,99388)
(11583,99404)
(12208,99458)
(13504,99610)
(13729,99644)
(14022,99678)
(15464,99800)
(16385,99908)
(18167,100050)
(18982,100135)
(19296,100166)
(19549,100180)
(19594,100191)
(802,100278)
(976,100297)
(1294,100337)
(2560,100487)
(4165,100607)
(4560,100668)
(5790,100796)
(7184,100890)
(7303,100915)
(7661,100925)
(8682,101038)
(9095,101071)
(10989,101222)
(11381,101276)
(12220,101343)
(12295,101349)
(13188,101420)
(13224,101438)
(13549,101485)
(14149,101544)
(15128,101608)
(16455,101775)
(16483,101778)
(16902,101795)
(17052,101807)
(18354,101911)
(604,102084)
(1206,102138)
(1310,102149)
(1499,102178)
(1676,102179)
(1785,102202)
(2256,102257)
(3312,102321)
(3373,102330)
(3586,102358)
(3745,102372)
(3989,102388)
(4380,102423)
(5174,102498)
(5731,102554)
(5949,102579)
(6324,102611)
(7142,102654)
(8045,102723)
(8515,102778)
(9068,102816)
(9276,102848)
(10003,102886)
(10499,102944)
(10554,102948)
(11355,103007)
(12914,103129)
(13252,103161)
(13651,103208)
(13300,103217)
(15549,103379)
(15907,103431)
(17574,103550)
(18416,103598)
(1408,103825)
(3269,103970)
(3717,104014)
(4524,104079)
(4706,104114)
(5093,104121)
(6250,104227)
(7211,104272)
(7377,104288)
(8518,104383)
(9195,104425)
(9411,104445)
(9504,104447)
(10221,104488)
(10338,104502)
(11220,104577)
(11720,104607)
(12306,104648)
(13569,104762)
(14963,104853)
(15345,104879)
(15569,104927)
(15792,104957)
(16634,105017)
(17045,105042)
(688,105303)
(1996,105411)
(2222,105431)
(2223,105436)
(3520,105520)
(3520,105524)
(4552,105593)
(4684,105613)
(5186,105629)
(5696,105667)
(6498,105732)
(6655,105736)
(8634,105870)
(8811,105881)
(8845,105884)
(9601,105918)
(10320,105963)
(11071,106001)
(11616,106051)
(12008,106074)
(13430,106184)
(15444,106328)
(13455,106388)
(16240,106423)
(17457,106502)
(18487,106555)
(19848,106667)
(643,106713)
(1728,106792)
(1879,106803)
(4427,106971)
(5271,107010)
(6386,107091)
(7782,107149)
(8738,107222)
(9240,107249)
(12627,107427)
(15096,107610)
(15597,107670)
(15700,107676)
(16421,107735)
(16913,107750)
(16913,107755)
(17178,107760)
(17444,107790)
(17567,107792)
(18864,107865)
(19720,107936)
(19923,107956)
(1760,108064)
(1967,108078)
(2383,108108)
(2743,108127)
(4243,108203)
(4336,108210)
(4348,108213)
(4780,108247)
(5625,108279)
(6856,108348)
(7952,108401)
(8005,108405)
(8433,108432)
(10492,108541)
(11123,108567)
(11125,108570)
(11977,108614)
(13402,108707)
(13917,108751)
(15424,108851)
(17279,108956)
(17665,108972)
(17730,108974)
(18872,109038)
(19561,109094)
(19723,109101)
(19893,109109)
(228,109120)
(1159,109161)
(1684,109205)
(2326,109240)
(2392,109243)
(3851,109310)
(4385,109339)
(4563,109340)
(5329,109368)
(5738,109403)
(6152,109430)
(7109,109455)
(7250,109465)
(7255,109468)
(8436,109522)
(9130,109550)
(9659,109568)
(9666,109570)
(10016,109584)
(10350,109604)
(12675,109718)
(13841,109808)
(15455,109907)
